Runs Generation Count Mean: 42
Runs Generation Count Mode: 50 occurred (7) time(s)
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0	0.00013	0	13.0037	3.6679	21	4	22	5	0	0.00013	0	13.0037	3.6679	21	4	22	5
1	0	0	0.00011	0	12.3673	3.8668	22	4	9	4	0	0.00013	0	12.6854	3.7673	21	4	20	5
2	0	0	0.00012	0	12.3627	4.0359	23	4	20	5	0	0.00014	0	12.5779	3.8569	25	4	20	5
3	0	0	0.00013	0	12.3978	4.1474	21	5	12	5	0	0.00015	0	12.5327	3.9295	20	4	20	5
4	0	0	0.0002	0	12.5401	4.2664	21	5	17	5	0	0.0002	0	12.5342	3.9969	21	5	20	5
5	0	0	0.00029	0	12.7373	4.351	25	5	16	6	0	0.00029	0	12.5682	4.0559	24	4	21	6
6	0	0	0.00043	0	13.2322	4.4751	28	7	16	5	0	0.00044	0	12.6629	4.1158	25	6	21	6
7	0	2e-05	0.00059	0	14.5087	4.7328	31	6	22	7	0	0.0006	0	12.8937	4.193	31	6	21	6
8	0	4e-05	0.00098	0	16.896	5.1569	29	7	28	8	1e-05	0.00098	0	13.3385	4.3	29	7	21	6
9	0	0.00011	0.00142	0	20.0375	5.7386	23	6	33	7	3e-05	0.00142	0	14.0086	4.4439	23	6	21	6
10	0	0.0002	0.10179	0	23.1455	6.2997	30	7	31	7	6e-05	0.10188	0	14.839	4.6127	23	6	21	6
11	0	0.00017	0.00243	0	23.9502	6.2108	27	7	28	7	5e-05	0.00251	0	14.4012	4.3466	23	6	17	5
12	0	0.00022	0.00209	0	26.4197	6.6151	29	7	34	8	6e-05	0.00256	0	15.3258	4.5212	23	6	17	5
13	0	0.00026	0.00218	0	28.988	7.0457	35	8	32	9	7e-05	0.00265	0	16.3016	4.7016	27	7	17	5
14	0	0.00035	0.00238	0	31.9373	7.5095	34	7	45	10	0.0001	0.00275	0	17.344	4.8886	24	6	17	5
15	0	0.00047	0.00264	0	34.7186	7.9494	38	8	58	11	0.00011	0.00288	0	18.4297	5.08	29	7	17	5
16	0	0.00056	0.00309	0	37.3934	8.3373	30	6	38	8	0.00015	0.00311	0	19.5454	5.2715	27	6	17	5
17	0	0.00067	0.00395	0	39.7441	8.6536	38	8	52	10	0.00018	0.00402	0	20.6675	5.4595	31	7	17	5
18	0	0.00074	0.00383	0	41.7076	8.9188	38	7	46	9	0.00021	0.00438	0	21.7748	5.6415	40	8	17	5
19	0	0.00085	0.00387	0	43.314	9.1726	34	8	73	12	0.00025	0.00441	0	22.852	5.818	41	9	17	5
20	0	0.00091	0.00387	0	44.8477	9.4017	49	9	62	11	0.00027	0.00467	0	23.8993	5.9887	44	9	17	5
21	0	0.00105	0.00466	0	46.6155	9.6548	44	8	47	9	0.00032	0.00512	0	24.9319	6.1555	44	9	17	5
22	0	0.00115	0.01107	0	48.2373	9.8518	48	10	50	10	0.00035	0.01109	0	25.945	6.3162	44	10	17	5
23	0	0.00127	0.01195	0	50.0907	10.0674	49	10	61	10	0.00039	0.0122	0	26.9513	6.4725	43	9	17	5
24	0	0.00217	0.01244	0	51.4262	10.2245	51	9	41	9	0.00045	0.01266	0	27.9301	6.6224	48	9	17	5
25	0	0.00415	0.01294	0	52.8199	10.3886	46	9	53	10	0.0006	0.01325	0	28.8874	6.7675	42	9	17	5
26	0	0.00457	0.01885	0	54.4409	10.5467	50	9	44	9	0.00075	0.01885	0	29.8339	6.9074	49	9	17	5
27	0	0.0047	0.01912	0	56.1528	10.6779	47	10	63	12	0.00089	0.01914	0	30.7738	7.0419	49	9	17	5
28	0	0.00485	0.1305	0	57.8071	10.822	51	10	72	11	0.00102	0.1305	0	31.7061	7.1723	52	9	17	5
29	0	0.00499	0.03082	0	55.4609	9.8436	79	12	60	9	0.00113	0.0309	0	30.5131	6.6313	63	10	16	4
30	0	0.00527	0.03191	0	57.2159	9.9802	67	11	63	10	0.00126	0.03194	0	31.3744	6.7393	61	9	16	4
31	0	0.00611	0.05786	0	59.3277	10.1387	66	10	74	11	0.00141	0.05797	0	32.2478	6.8455	63	9	16	4
32	0	0.00782	0.06398	0	61.2103	10.2798	69	10	47	9	0.00161	0.06413	0	33.1256	6.9497	55	9	16	4
33	0	0.00143	0.00332	0	57.5509	9.0645	48	8	53	8	0.0006	0.00344	0	30.8115	6.1834	42	7	15	4
34	0	0.00145	0.00331	0	59.0941	9.1686	63	9	71	8	0.00064	0.00344	0	31.6194	6.2688	42	7	15	4
35	0	0.00148	0.00331	0	60.6663	9.2754	54	8	62	9	0.00066	0.00344	0	32.4264	6.3522	42	7	15	4
36	0	0.00151	0.00339	0	62.3083	9.4	69	10	81	10	0.00068	0.00347	0	33.2339	6.4346	55	9	15	4
37	0	0.00153	0.00333	0	63.6233	9.4654	61	10	57	10	0.00069	0.00348	0	34.0338	6.5146	56	9	15	4
38	0	0.00156	0.00314	0	65.0876	9.5284	72	10	77	11	0.00073	0.00349	0	34.83	6.5917	62	9	15	4
39	0	0.00158	0.00359	0	66.5814	9.5909	57	9	68	10	0.00075	0.00368	0	35.6239	6.6669	57	10	15	4
40	0	0.0016	0.00373	0	67.953	9.6398	72	10	68	9	0.00077	0.00376	0	36.4122	6.7392	67	10	15	4
