Run	Remaining Subpopulations
0	10
1	10
2	10
3	10
4	10
5	7
6	7
7	7
8	7
9	7
10	5
11	5
12	5
13	5
14	5
15	3
16	3
17	3
18	3
19	3
20	2
21	2
22	2
23	2
24	2
Timer Name	Value
CPU Time (ns):	97656444427
Wall Time (ms):	4741
CPU Cycles:	77591376009334551
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	5	325947392
2	279	344080384
3	537	349671424
4	750	358031360
5	979	363569152
6	1190	369344512
7	1373	377196544
8	1573	384733184
9	1742	390086656
10	1873	395952128
11	1972	403070976
12	2258	286724096
13	2382	288526336
14	2472	292638720
15	2574	296648704
16	2668	301400064
17	2754	302764032
18	2853	307273728
19	2932	310366208
20	2998	313757696
21	3053	318050304
22	3261	230498304
23	3323	231763968
24	3384	234827776
25	3445	238153728
26	3499	239501312
27	3549	242339840
28	3607	244215808
29	3660	245448704
30	3708	248528896
31	3748	250953728
32	3881	152297472
33	3925	153858048
34	3969	154820608
35	4011	156811264
36	4052	158154752
37	4091	159645696
38	4131	161185792
39	4169	162742272
40	4208	164155392
41	4245	165531648
42	4300	109748224
43	4332	110116864
44	4366	111173632
45	4397	111824896
46	4430	113045504
47	4469	113152000
48	4505	114212864
49	4542	114999296
50	4578	115900416
51	4610	115879936
Aggregation Count:	10
Timer Name	Value
CPU Time (ns):	9765644442
Wall Time (ms):	3403
CPU Cycles:	7759137600933455
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	5	32594739
2	279	34408038
3	537	34967142
4	750	35803136
5	979	36356915
6	1190	36934451
7	1373	37719654
8	1573	38473318
9	1742	39008665
10	1873	39595212
11	1972	40307097
12	2258	40960585
13	2382	41218048
14	2472	41805531
15	2574	42378386
16	2668	43057152
17	2754	43252004
18	2853	43896246
19	2932	44338029
20	2998	44822528
21	3053	45435757
22	3261	46099660
23	3323	46352793
24	3384	46965555
25	3445	47630745
26	3499	47900262
27	3549	48467968
28	3607	48843161
29	3660	49089740
30	3708	49705779
31	3748	50190745
32	3881	50765824
33	3925	51286016
34	3969	51606869
35	4011	52270421
36	4052	52718250
37	4091	53215232
38	4131	53728597
39	4169	54247424
40	4208	54718464
41	4245	55177216
42	4300	54874112
43	4332	55058432
44	4366	55586816
45	4397	55912448
46	4430	56522752
47	4469	56576000
48	4505	57106432
49	4542	57499648
50	4578	57950208
51	4610	57939968
Hits	Total
2081	2810
Percent Hit:	74.0569%
Fitness
0.998671
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1029	107	1052	621
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.96095	0.99841	0	17.3243	3.3339	26	3	47	5	0.96095	0.99841	0	17.3243	3.3339	26	3	47	5
1	0	0.99324	0.99854	0	15.3593	3.3894	31	4	43	6	0.97709	0.99854	0	16.3417	3.3618	31	4	47	5
2	0	0.99044	0.99854	0	14.9776	3.4696	31	4	36	6	0.98155	0.99854	0	15.8869	3.3977	31	4	47	5
3	0	0.99175	0.99855	0	14.4393	3.4851	25	4	32	5	0.98411	0.99855	0	15.5253	3.4196	25	4	47	5
4	0	0.99312	0.99857	0.09949	13.5412	3.4618	26	4	38	6	0.98591	0.99857	0	15.1283	3.428	26	4	47	5
5	0	0.99269	0.9986	0	12.7751	3.3785	26	4	46	8	0.98702	0.9986	0	14.7362	3.4196	26	4	47	5
6	0	0.99512	0.9986	0	11.9686	3.313	26	4	36	7	0.98818	0.9986	0	14.3409	3.4044	26	4	47	5
7	0	0.99468	0.99863	0.09973	11.6055	3.2838	22	4	41	6	0.989	0.99863	0	13.999	3.3895	22	4	47	5
8	0	0.99474	0.99864	0.09966	10.9696	3.2035	24	4	34	7	0.98963	0.99864	0	13.6623	3.3687	24	4	47	5
9	0	0.99424	0.99864	0	10.7244	3.1713	24	4	41	7	0.9901	0.99864	0	13.3685	3.349	24	4	47	5
10	0	0.69636	0.69911	0.09975	7.252	2.1792	18	3	30	6	0.69349	0.69911	0	9.2084	2.3461	18	3	32	3
11	0	0.69699	0.69911	0.09979	7.1161	2.1718	18	3	32	6	0.69379	0.69911	0	9.0338	2.3316	18	3	32	3
12	0	0.6971	0.69911	0	6.8018	2.1235	18	3	28	5	0.69404	0.69911	0	8.8624	2.3154	18	3	32	3
13	0	0.69723	0.69911	0.09949	6.4916	2.076	18	3	23	5	0.69429	0.69911	0	8.693	2.2983	18	3	32	3
14	0	0.69746	0.69911	0.39852	6.2513	2.0365	18	3	19	4	0.69448	0.69911	0	8.5301	2.2807	18	3	32	3
15	0	0.69671	0.69911	0.19958	5.9866	1.9893	18	3	21	5	0.69462	0.69911	0	8.3713	2.2628	18	3	32	3
16	0	0.69773	0.69913	0.29932	5.9659	1.9738	16	3	16	3	0.69481	0.69913	0	8.2298	2.2456	16	3	32	3
17	0	0.69711	0.69913	0.0998	5.7644	1.9435	16	3	21	5	0.69493	0.69913	0	8.0928	2.2289	16	3	32	3
18	0	0.69773	0.69913	0.09976	5.5811	1.9146	16	3	15	5	0.69508	0.69913	0	7.9604	2.2125	16	3	32	3
19	0	0.69748	0.69913	0.19949	5.3606	1.8584	16	3	16	4	0.69519	0.69913	0	7.8306	2.1946	16	3	32	3
20	0	0.49787	0.4994	0	3.8562	1.3097	14	2	15	3	0.49663	0.4994	0	5.6279	1.5716	14	2	19	2
21	0	0.49862	0.4994	0.19956	3.701	1.2535	14	2	11	2	0.49674	0.4994	0	5.5404	1.5572	14	2	19	2
22	0	0.49837	0.4994	0.19954	3.6084	1.2167	14	2	3	1	0.4968	0.4994	0	5.4563	1.5424	14	2	19	2
23	0	0.49849	0.49941	0.2992	3.4456	1.1909	14	2	8	2	0.49687	0.49941	0	5.3726	1.5277	14	2	19	2
24	0	0.49837	0.49941	0.19957	3.3973	1.174	14	2	5	2	0.49693	0.49941	0	5.2935	1.5135	14	2	19	2
25	0	0.49837	0.49941	0.19957	3.3102	1.1426	14	2	13	2	0.49698	0.49941	0	5.2173	1.4992	14	2	19	2
26	0	0.49875	0.49941	0.29936	3.286	1.1489	14	2	4	2	0.49705	0.49941	0	5.1456	1.4864	14	2	19	2
27	0	0.49874	0.49941	0.39912	3.1122	1.1107	14	2	8	2	0.49711	0.49941	0	5.073	1.4729	14	2	19	2
28	0	0.49824	0.49941	0.0998	3.0396	1.0768	14	2	7	2	0.49715	0.49941	0	5.003	1.4593	14	2	19	2
29	0	0.49824	0.49941	0.09976	2.9302	1.0615	14	2	7	2	0.49719	0.49941	0	4.934	1.446	14	2	19	2
30	0	0.29914	0.29967	0.19953	1.9678	0.6924	13	2	5	1	0.29834	0.29967	0	3.1727	0.9035	13	2	9	1
31	0	0.29914	0.29967	0.19949	2.0345	0.708	13	2	6	2	0.29836	0.29967	0	3.1371	0.8974	13	2	9	1
32	0	0.29927	0.29967	0.19957	2.0547	0.7194	13	2	2	1	0.29839	0.29967	0	3.1044	0.892	13	2	9	1
33	0	0.29914	0.29967	0.09963	1.9629	0.6903	13	2	5	1	0.29841	0.29967	0	3.0708	0.8859	13	2	9	1
